name;
Mar’a, Madre de Dios;
Basilio, Gregorio;
 Genoveva;
Yolando, Rigoberto;
Emilia;
Wilma, Melanio;
Raimundo;
Luciano, Eladio;
Lucrecia;
Gonzalo;
Alejandro;
JuliÌÁn;
Hilario;
FÌ©lix;
Raquel, Mauro;
Marcelo;
Antonio, Guido;
Prisca - Priscila;
Mario;
SebastiÌÁn, FabiÌÁn;
InÌ©s;
Laura VicuÌ±a, Vicente;
Virginia;
Francisco de Sales;
Elvira;
Timoteo, Tito, Paula - Paola;
Ìngela Merici;
TomÌÁs de Aquino;
Valerio Martina;
Martina de Roma;
Juan Bosco, Marcela;
Severiano;
PresentaciÌ_n del SeÌ±or;
Blas, Oscar;
Gilberto;
Agueda;
Doris, Pablo Miki;
GastÌ_n;
JerÌ_nimo Emiliano, Jacqueline;
Rebeca;
EscolÌÁstica;
N.Sra. de Lourdes;
Panfilio, Pamela;
Batriz;
Cirilo, Metodio, Valentino;
Fausto-ino, Jovita;
Samuel;
Alexis;
Bernardita;
Ìlvaro;
Eleuterio, Claudio;
Pedro DaminÌÁn, Severino;
Eleonora, Nora;
Florencio;
RubÌ©n, Sergio;
NÌ©stor;
Augusto;
Leandro, Gabriel Dol;
RomÌÁn;
Rosendo;
Lucio;
Celedonio;
Ariel;
Olivia;
Elcira;
PerpÌ©tua, Felicidad;
Juan de Dios;
Francisca Romana;
Macario;
Eulogio;
 Norma;
 Rodrigo;
Matilde;
Luisa de Marillac;
Heriberto;
Patricio;
Cirilo;
JosÌ©;
Alejandra;
Eugenia;
 Lea;
 Dimas;
Elba, Catalina de Suecia;
AnunciaciÌ_n;
Braulio;
Ruperto;
Octavio;
Gladys;
Artemio;
BenjamÌ_n, Balbina;
Hugo;
Sandra, Francisco de Paula;
Ricardo;
Isidoro;
Vicente Ferrer;
Edith;
Juan Bautista de La Salle;
Constanza;
Demetrio;
Ezequiel;
Estanislao;
 Arnoldo, Julio;
 MartÌ_n, AÌ_da;
MÌÁximo;
Crescente;
Flavio;
Leopoldo, Aniceto;
Wladimir;
Ema;
Edgardo;
Anselmo;
Karina;
Jorge;
Fidel;
Marcos;
Cleto, Marcelino;
Zita, Toribio de Mogrovejo;
Valeria;
Catalina de Siena;
Amador, PÌ_o V;
JosÌ© Obrero;
Atanasio, Boris;
Santa Cruz;
Felipe y Santiago;
Judit;
Eleodoro;
Domitila;
Segundo;
IsaÌ_as;
Antonino-a, Solange;
Estela;
 Pancracio, Nereo, Aquiles;
 N.S. FÌÁtima;
MatÌ_as;
Isidro, Denise;
Honorato;
Pascual BailÌ_n;
Erica, Corina;
Yvo-ne;
Bernardino de Siena;
Constantino;
 Rita;
 Desiderio;
MarÌ_a Auxiliadora, Susana;
Beda, Gregorio, Ma.Magdalena de Pazzi;
Mariana;
Emilio, AgustÌ_n de Cantorbery;
GermÌÁn;
Maximiano, Hilda;
Fernando/HernÌÁn, Juana de Arco, Lorena;
VisitaciÌ_n;
Justino, Juvenal;
 Marcelino, Erasmo;
 Maximiliano, Carlos Lwanga;
Frida;
Bonifacio, Salvador;
Norberto;
Claudio;
Armando;
Efr&eacuten;
Paulina;
BernabÌ©, Trinidad;
 Onofre;
 Antonio;
Eliseo;
Leonidas, Manuela, Micaela;
Aurelio;
Ismael;
Salom&oacuten;
Romualdo;
Florentino;
Raul, Rodolfo, Lu&iacutes Gonzaga;
 Paulino de Nola, TomÌÁss Moro, Juan Fisher;
 Marcial;
Juan Bautista;
Guillermo;
Pelayo;
Cirilo;
Ireneo;
Pedro y Pablo;
Adolfo;
Ester;
Gloria;
TomÌÁs;
Isabel, Eliana, Liliana;
Antonio-MarÌ_a, Berta;
MarÌ_a Goretti;
FermÌ_n;
Eugenio;
VerÌ_nica;
ElÌ_as;
Benito;
Filomena;
Teresa de los Andes, Enrique, Joel;
Camilo de Lelis;
Buenaventura, Julio/a;
Carmen;
Carolina;
Federico;
Arsenio;
Marina;
Daniel;
MarÌ_a Magdalena;
Brigida;
Cristina;
Santiago;
JoaquÌ_n, Ana;
Natalia;
Celso;
Marta;
AbdÌ_n y SenÌ©n;
Ignacio de Loyola;
Alfonso MarÌ_a de Ligorio;
Eusebio;
Lydia;
